iter	Passed	Remaining
0	1	1887
1	3	1536
2	4	1414
3	5	1276
4	5	1184
5	6	1134
6	7	1110
7	8	1073
8	9	1058
9	10	1026
10	11	1004
11	11	978
12	12	966
13	13	947
14	14	932
15	14	920
16	15	908
17	16	902
18	17	894
19	18	888
20	18	877
21	19	867
22	20	865
23	21	863
24	21	857
25	22	850
26	23	842
27	24	839
28	24	836
29	25	830
30	26	824
31	27	818
32	27	814
33	28	809
34	29	804
35	29	803
36	30	798
37	31	791
38	31	787
39	32	782
40	33	782
41	34	778
42	34	775
43	35	772
44	36	769
45	36	764
46	37	761
47	38	756
48	38	752
49	39	748
50	40	745
51	40	742
52	41	738
53	41	734
54	42	731
55	43	729
56	43	726
57	44	727
58	45	724
59	46	721
60	46	720
61	47	717
62	48	714
63	48	711
64	49	709
65	49	706
66	50	704
67	51	702
68	52	702
69	52	699
70	53	696
71	54	696
72	54	694
73	55	691
74	55	689
75	56	687
76	57	686
77	58	686
78	58	685
79	59	683
80	60	682
81	60	680
82	61	678
83	62	676
84	62	675
85	63	673
86	64	671
87	64	670
88	65	668
89	66	667
90	66	666
91	67	665
92	68	663
93	68	661
94	69	660
95	70	659
96	70	657
97	71	656
98	71	655
99	72	654
100	73	653
101	74	651
102	74	650
103	75	648
104	75	646
105	76	645
106	77	644
107	77	643
108	78	643
109	79	641
110	79	640
111	80	639
112	81	637
113	81	636
114	82	635
115	83	633
116	83	632
117	84	631
118	85	629
119	85	628
120	86	626
121	86	625
122	87	624
123	88	623
124	89	623
125	89	622
126	90	623
127	91	624
128	92	623
129	93	623
130	94	623
131	94	623
132	95	623
133	96	622
134	97	621
135	97	620
136	98	622
137	99	622
138	100	621
139	100	620
140	101	619
141	102	618
142	102	616
143	103	615
144	104	614
145	104	612
146	105	611
147	106	610
148	106	609
149	107	608
150	108	607
151	108	607
152	109	605
153	110	605
154	110	604
155	111	603
156	112	602
157	112	601
158	113	599
159	114	598
160	114	598
161	115	597
162	116	596
163	117	599
164	118	598
165	118	597
166	119	596
167	120	595
168	120	593
169	121	593
170	122	592
171	122	591
172	123	591
173	124	590
174	124	588
175	125	587
176	126	586
